r2_stem,r2_nonstem,gap,lambda,p_lambda,wald,p_wald,z_mdd,z_ner,n_stem,n_nonstem
0.08820532181142082,0.03543952576393439,0.052765796047486435,230.44456395680027,3.426108198711837e-43,71.60602197806966,7.367777009521333e-12,3.2810462905044195,5.875879080743212,1556,5465
0.07964074269158594,0.04142115777308708,0.03821958491849886,238.60170739399473,6.774691922102563e-45,76.87765019472155,6.723124779260329e-13,2.4332194548036625,3.840008304545144,1597,5424
0.07869081216361917,0.03835373127529507,0.040337080888324106,265.003846567095,2.0006781835803562e-50,73.83105145170282,2.6875797172943012e-12,2.59481189008463,5.222603860062953,1538,5483
0.08073620099338419,0.038913235033551485,0.0418229659598327,198.63239335608523,1.4294937910536501e-36,66.47864293495473,7.433708287621434e-11,3.1316215782152965,4.59269366389279,1615,5406
0.06010802369874124,0.04172458629608322,0.01838343740265802,243.55434786960905,6.240909170127593e-46,56.490721517574855,6.324755148567273e-09,1.854646766488608,5.575251190764593,1562,5459
0.11497011174497351,0.03614348050108018,0.07882663124389333,242.93126477925398,8.425283063185024e-46,121.27234175088046,7.33388573248677e-22,3.651117227302506,4.2524598889724565,1591,5430
0.08380096592741482,0.03782008015187577,0.04598088577553905,239.41035988522708,4.590380368918508e-45,81.61842123501002,7.703791933361478e-14,2.6285056499436568,4.935826907914016,1601,5420
0.08234167710478679,0.039614700242590284,0.04272697686219651,228.50499373001003,8.701658158084676e-43,70.33120205143565,1.3111581498086916e-11,3.057608659006507,4.812249357319245,1552,5469
0.06206841255008233,0.041060073073380776,0.021008339476701554,247.1236902895871,1.1178195995467158e-46,48.53264357970864,2.0305274893643497e-07,3.0956306253940884,2.8137143957969046,1542,5479
0.10497794683109551,0.037386144990947945,0.06759180184014757,224.5671035456544,5.768163262012142e-42,106.3902607969839,7.971197094453352e-19,2.561167347078498,7.205304324428919,1611,5410
0.09637179820132014,0.034197286337311006,0.06217451186400913,231.7027822486125,1.8712416086135996e-43,78.61254747332958,3.046909426568721e-13,3.7275494687459343,3.73636412020102,1573,5448
0.06784389062910756,0.04317097331411046,0.0246729173149971,237.89206833423668,9.532668080765606e-45,72.20932478797248,5.6068032870597935e-12,1.9666094084986099,6.023151031581645,1580,5441
0.07451494277789894,0.035175135760135534,0.039339807017763406,204.5177585167694,8.583718713231742e-38,60.35107813749067,1.1472250768048786e-09,2.0600086342683124,5.7107069568570195,1567,5454
0.0894302014815691,0.04243214571023124,0.046998055771337865,259.2780653550799,3.1780296343142155e-49,88.27582816108458,3.608700620607365e-15,3.5709127025148946,4.309040942421494,1586,5435
0.08226757196204015,0.036164207557062955,0.0461033644049772,192.13727872419258,3.1716676546887653e-35,67.21421830123401,5.341734568541937e-11,2.4524706229416475,4.748203617096908,1615,5406
0.07812729933414042,0.04118277722521457,0.03694452210892585,277.24445637565077,5.379569526102164e-53,74.75681944359859,1.765001814427268e-12,3.234453602847258,5.022025306541871,1538,5483
0.0824351440687765,0.0402901387127268,0.0421450053560497,223.03814702155796,1.201757263385614e-41,70.65095290589358,1.1347848366386553e-11,2.7199939851227977,4.500746411969834,1573,5448
0.07858059871951273,0.0366359126494894,0.04194468607002333,237.2408134859361,1.3041309587851395e-44,74.9375339512339,1.625817313914508e-12,3.0558991557769826,5.543538412363237,1580,5441
0.09439873391358722,0.04252544870275721,0.05187328521083001,281.18879397553974,7.973561087702661e-54,98.23475022414729,3.578334335625375e-17,4.115667648265898,5.496140792765426,1609,5412
0.07069260798363608,0.03682662002772086,0.03386598795591522,184.65821913204127,1.1183998014336805e-33,51.02652166742088,6.902498712393688e-08,1.4360776898808447,4.3130456881236015,1544,5477
0.07188834333507477,0.039901746111627556,0.03198659722344721,218.44517877909675,1.0886263516362717e-40,54.70208416134998,1.3879783494059799e-08,3.032116184294505,4.170109579091839,1579,5442
0.09150854042531398,0.03673985381562661,0.05476868660968737,245.39400955034944,2.5724915323471066e-46,94.83136967061556,1.7388553729998655e-16,2.6982567568959865,5.7388760969411186,1574,5447
0.09297245030291845,0.038499399249089405,0.05447305105382905,235.48502313562494,3.0352478294941877e-44,70.36249974488884,1.292751768660118e-11,3.2351915226752337,5.53149657177933,1545,5476
0.07380900379843569,0.038224288581569565,0.035584715216866125,233.4610453391033,8.034750843236601e-44,81.76306495268024,7.209726178836713e-14,2.4266502956615077,4.418789271239772,1608,5413
0.0817549491583146,0.029747855776117382,0.05200709338219722,242.72458699562776,9.30710493408066e-46,76.03888802429307,9.851067392186218e-13,2.452535369802644,5.346046657913859,1601,5420
0.08051293870648135,0.048666275940456916,0.031846662766024436,215.31058139876404,4.89291407718696e-40,64.95815742512086,1.4700140230602186e-10,3.2379811533445695,4.512397885608863,1552,5469
0.07717995198431404,0.04045682121002503,0.036723130774289015,293.8912385932563,1.694685580252087e-56,60.08858859698687,1.288997819868368e-09,2.0464407857525875,4.99172270225782,1601,5420
