question_id,n_tokens,n_nouns,flesch_kincaid,WSCG_Depth_resid_tokens,WSCG_Nodes_resid_tokens
mmlu_abstract_algebra_row_0,26.0,8.0,5.041428571428572,0.2210317702512321,1.480278720581488
mmlu_abstract_algebra_row_1,30.0,5.0,-0.5722727272727273,0.6014822347261197,2.983356528733138
mmlu_abstract_algebra_row_2,29.0,10.0,10.823478260869567,5.631369618607398,6.357587076695225
mmlu_abstract_algebra_row_3,42.0,15.0,8.208783783783787,4.742833628150782,6.492589953188087
mmlu_abstract_algebra_row_4,38.0,11.0,5.327272727272728,2.3623831636758945,5.989512145036436
mmlu_abstract_algebra_row_5,49.0,12.0,8.429285714285715,5.033621940981835,11.872976117453472
mmlu_abstract_algebra_row_6,43.0,15.0,10.768888888888888,5.212946244269504,4.118359405225998
mmlu_abstract_algebra_row_7,30.0,9.0,5.863636363636363,6.10148223472612,7.983356528733138
mmlu_abstract_algebra_row_8,21.0,7.0,4.91076923076923,-0.12953131034237675,2.351431460391927
mmlu_abstract_algebra_row_9,27.0,9.0,10.580952380952379,1.6911443863699542,5.106048172619401
mmlu_abstract_algebra_row_10,49.0,14.0,7.445769230769233,5.533621940981835,11.872976117453472
mmlu_abstract_algebra_row_11,28.0,7.0,2.4833333333333343,2.661257002488676,6.731817624657312
mmlu_abstract_algebra_row_12,20.0,6.0,2.4700000000000024,3.400356073538901,3.725662008354014
mmlu_abstract_algebra_row_13,28.0,9.0,7.854411764705883,4.161257002488676,3.731817624657312
mmlu_abstract_algebra_row_14,15.0,4.0,6.726153846153846,2.049792992945292,1.5968147481644532
mmlu_abstract_algebra_row_15,24.0,8.0,6.9311111111111146,1.2808065380137883,4.228739816505664
mmlu_abstract_algebra_row_16,21.0,5.0,5.863636363636363,1.8704686896576233,1.351431460391927
mmlu_abstract_algebra_row_17,18.0,5.0,3.7181818181818187,-1.5398691586985427,0.47412310427819016
mmlu_abstract_algebra_row_18,16.0,5.0,9.825,1.019905609064014,1.2225842002023652
mmlu_abstract_algebra_row_19,49.0,17.0,9.705000000000002,8.033621940981835,9.872976117453472
mmlu_abstract_algebra_row_20,56.0,17.0,6.432682926829269,8.324410253812887,16.253362281718857
mmlu_abstract_algebra_row_21,38.0,11.0,4.790909090909089,2.3623831636758945,5.989512145036436
mmlu_abstract_algebra_row_22,46.0,13.0,5.835092592592595,9.123284092625669,7.995667761339735
mmlu_abstract_algebra_row_23,17.0,5.0,9.087500000000002,0.49001822518273563,-0.15164634775972274
mmlu_abstract_algebra_row_24,32.0,9.0,8.637,2.0417074669635635,3.234895432808962
mmlu_abstract_algebra_row_25,26.0,8.0,13.040000000000003,0.7210317702512321,4.480278720581488
mmlu_abstract_algebra_row_26,32.0,10.0,9.081818181818182,5.5417074669635635,7.234895432808962
mmlu_abstract_algebra_row_27,25.0,10.0,15.685555555555556,3.7509191541325104,6.854509268543575
mmlu_abstract_algebra_row_28,39.0,12.0,10.409827586206898,4.832495779794616,6.615281597074349
mmlu_abstract_algebra_row_29,26.0,7.0,10.73,-1.278968229748768,0.480278720581488
mmlu_abstract_algebra_row_30,47.0,14.0,6.104210526315793,6.593396708744391,8.621437213377646
mmlu_abstract_algebra_row_31,39.0,9.0,4.400000000000002,8.332495779794616,4.615281597074349
mmlu_abstract_algebra_row_32,45.0,14.0,10.511666666666667,12.153171476506948,12.369898309301824
mmlu_abstract_algebra_row_33,24.0,5.0,2.342222222222226,0.7808065380137883,0.228739816505664
mmlu_abstract_algebra_row_34,64.0,17.0,6.1448780487804875,4.085311182762663,15.259517898022157
mmlu_abstract_algebra_row_35,21.0,7.0,4.91076923076923,-0.6295313103423767,1.351431460391927
mmlu_abstract_algebra_row_36,17.0,3.0,3.653333333333336,0.9900182251827356,-0.15164634775972274
mmlu_abstract_algebra_row_37,20.0,8.0,16.462500000000002,2.900356073538901,3.725662008354014
mmlu_abstract_algebra_row_38,9.0,3.0,5.230000000000004,0.7291172962329608,0.8421980359369794
mmlu_abstract_algebra_row_39,18.0,6.0,12.316666666666666,5.460130841301457,4.47412310427819
mmlu_abstract_algebra_row_40,37.0,12.0,13.416666666666668,0.39227054755717283,1.3637426929985228
mmlu_abstract_algebra_row_41,10.0,5.0,4.964444444444446,-1.300770087648317,1.4679674879748914
mmlu_abstract_algebra_row_42,51.0,17.0,9.808953488372094,6.973847173219278,9.124515021529298
mmlu_abstract_algebra_row_43,24.0,5.0,16.87794117647059,6.280806538013788,4.228739816505664
mmlu_abstract_algebra_row_44,36.0,12.0,6.432000000000002,-0.0778420685615493,5.737973240960612
mmlu_abstract_algebra_row_45,34.0,10.0,8.165000000000003,1.481932699201007,9.486434336884786
mmlu_abstract_algebra_row_46,32.0,7.0,9.903076923076924,3.5417074669635635,4.234895432808962
mmlu_abstract_algebra_row_47,25.0,10.0,2.0600000000000023,7.750919154132511,4.854509268543575
mmlu_abstract_algebra_row_48,64.0,24.0,7.339186046511628,4.085311182762663,11.259517898022157
mmlu_abstract_algebra_row_49,15.0,7.0,6.727142857142859,2.549792992945292,3.5968147481644532
