lambda,gap,r2_stem,r2_nonstem,q
376.4536209965445,0.043578465938071576,0.08075621500268959,0.037177749064618015,0.09695996080848002
367.1828212429027,0.04088835714777517,0.07889415897202956,0.03800580182425439,0.09115990332937779
397.10796317160566,0.055891046337228634,0.09131714521032708,0.035426098873098444,0.12143562863726981
449.366785187769,0.051018737226282806,0.08909777925130069,0.038079042025017884,0.11019025143351874
417.09074607305956,0.0428837761479931,0.08493162339956584,0.042047847251572734,0.09212408466271604
459.48156648758595,0.059761541893164516,0.09830916989157867,0.03854762799841416,0.12555154493289133
432.841406557287,0.03723965011906405,0.0761751153551603,0.038935465236096256,0.08340211730449801
386.7305990427485,0.041081557736413865,0.07628073485638687,0.035199177119973,0.0936889384359805
429.95716751596774,0.031244559030755403,0.07572525839239086,0.044480699361635456,0.06834430621887302
396.7695565826143,0.05201984017725747,0.0873565325628396,0.035336692385582125,0.11440616244707555
365.2821245248124,0.029984078026705552,0.063934956997583,0.03395087897087745,0.0720725941425685
529.4126516370379,0.04307587728455631,0.08335560488339955,0.04027972759884324,0.09370258356365008
366.7617672117558,0.033254518085332974,0.06917556531483215,0.03592104722949918,0.07749398178563568
483.4359970550722,0.04603271680457566,0.09075494397134076,0.044722227166765105,0.09618370877602117
441.4535399635497,0.0463027226379813,0.08598112347800757,0.03967840084002627,0.10019791325841709
489.451112922201,0.03236664023322311,0.07061441165117821,0.0382477714179551,0.07414517431558326
465.11294957299106,0.03454533684090355,0.0728337692952169,0.03828843245431335,0.07850085842414159
423.5885642576759,0.028809171861922667,0.07039512526935421,0.04158595340743154,0.06499764301875788
448.5016215225478,0.052613333772310145,0.09256361288889614,0.039950279116585996,0.11158542661819001
434.00034870729723,0.028773070221065344,0.06790185389697967,0.039128783675914325,0.06627808059460616
325.5199088760637,0.018518941633042685,0.05743123646990134,0.03891229483685865,0.04451870813377837
549.3069310995488,0.05664063110217599,0.09625244060263671,0.039611809500460726,0.11909795511548521
489.4411558411666,0.045855589814615794,0.0866410721869858,0.04078548237237001,0.09855172716326563
435.33736296050483,0.04286551924225457,0.07324937028617717,0.030383851043922605,0.10145303568931299
420.3132316695919,0.04583208576388298,0.08236107177985652,0.03652898601597354,0.10177368067434225
369.7024536849349,0.039225328744889265,0.07368724903179635,0.03446192028690709,0.09061584511171286
494.7712711160275,0.03978046120891421,0.07770786699720855,0.037927405788294344,0.08906920432604204
448.1136159568996,0.029736857720341292,0.07026029131758504,0.04052343359724375,0.06745845790561036
537.957789611115,0.07412714600756398,0.10634401044639896,0.03221686443883498,0.15700648071817594
461.8828585845695,0.05033422542190291,0.08794405566028185,0.03760983023837894,0.10931648585479842
499.91984615700494,0.04635469185287633,0.08296995373963334,0.03661526188675701,0.10269383350636993
462.30155531116907,0.030564278629120478,0.06759789951159956,0.03703362088247908,0.07123303815208668
485.5392500377566,0.02520780116379917,0.0648501276309057,0.039642326467106526,0.05858717515634998
399.99871471223014,0.031128098424273,0.07551916507471823,0.04439106665044523,0.0681614182217938
451.4704670519568,0.05523655016161377,0.08981680322532248,0.03458025306370871,0.12103718712487571
496.1059528913611,0.03907235299810663,0.08437940805911248,0.04530705506100585,0.08293241812212537
470.7185038471871,0.05083083115066811,0.08122542818534473,0.030394597034676618,0.11697681736308221
443.8418844667758,0.03878534752157603,0.07868869087539931,0.039903343353823284,0.08576031587220329
508.16902016984386,0.041893752457881406,0.08693423563506841,0.04504048317718701,0.08836286246653671
420.84397699616966,0.04566167235883323,0.08195892329875087,0.03629725093991765,0.1016395361677816
437.54519415787945,0.031002271867306308,0.07660398479022357,0.04560171292291726,0.06730191684892739
